id,url,attribution,filepath,timestamp
6d39d140-bcd1-4833-a177-b75ceab044a8,https://live.staticflickr.com/8004/29284257466_7cf4829fed_b.jpg,"""Face Off With Cancer #IFACEOFF4 - Fighting Unicorns @ Pucklers"" by mark6mauno is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",/Users/anton/Downloads/Coding/SportMuteDatasets/hockey/6d39d140-bcd1-4833-a177-b75ceab044a8.png,2024-08-08T13:50:47.855712
6e24e65c-f130-445e-8898-2ad042452dc5,https://live.staticflickr.com/8244/29149966200_28e5ea5f68_b.jpg,"""Face Off With Cancer #IFACEOFF4 - Fighting Unicorns @ South Puck 1"" by mark6mauno is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",/Users/anton/Downloads/Coding/SportMuteDatasets/hockey/6e24e65c-f130-445e-8898-2ad042452dc5.png,2024-08-08T13:50:48.081073
4d21beef-9be9-436e-8ecc-d2149618484b,https://live.staticflickr.com/8064/28772096024_f9988c6d44_b.jpg,"""Face Off With Cancer #IFACEOFF4 - Fighting Unicorns @ Puck Off Cancer!"" by mark6mauno is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",/Users/anton/Downloads/Coding/SportMuteDatasets/hockey/4d21beef-9be9-436e-8ecc-d2149618484b.png,2024-08-08T13:50:48.335653
1fa16ce3-beb5-4a27-87d2-ccf489960c1d,https://live.staticflickr.com/8137/29447047016_bed6fca88f_b.jpg,"""Face Off With Cancer #IFACEOFF4 - Fighting Unicorns @ Pylons"" by mark6mauno is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",/Users/anton/Downloads/Coding/SportMuteDatasets/hockey/1fa16ce3-beb5-4a27-87d2-ccf489960c1d.png,2024-08-08T13:50:48.592535
474a7404-c6ba-45bb-93a7-b744ebc473af,https://live.staticflickr.com/8760/28682338554_e89cfd42f5_b.jpg,"""Face Off With Cancer #IFACEOFF4 - Fighting Unicorns @ Pucklers"" by mark6mauno is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",/Users/anton/Downloads/Coding/SportMuteDatasets/hockey/474a7404-c6ba-45bb-93a7-b744ebc473af.png,2024-08-08T13:50:48.830269
a74a33f7-1ad7-4e60-b403-62a2d2681e63,https://live.staticflickr.com/8017/28771833174_4ae61c5f30_b.jpg,"""Face Off With Cancer #IFACEOFF4 - Fighting Unicorns @ Puck Off Cancer!"" by mark6mauno is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",/Users/anton/Downloads/Coding/SportMuteDatasets/hockey/a74a33f7-1ad7-4e60-b403-62a2d2681e63.png,2024-08-08T13:50:49.094626
494e7685-2e46-4b95-b840-9e4b1143420b,https://live.staticflickr.com/8326/29304892075_956a2ecd10_b.jpg,"""Face Off With Cancer #IFACEOFF4 - Fighting Unicorns @ Pucklers"" by mark6mauno is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",/Users/anton/Downloads/Coding/SportMuteDatasets/hockey/494e7685-2e46-4b95-b840-9e4b1143420b.png,2024-08-08T13:50:49.329660
38bf47bc-02dc-4a0f-90fc-93924bc728aa,https://live.staticflickr.com/8122/28682382634_9fcc66070a_b.jpg,"""Face Off With Cancer #IFACEOFF4 - Fighting Unicorns @ Pucklers"" by mark6mauno is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",/Users/anton/Downloads/Coding/SportMuteDatasets/hockey/38bf47bc-02dc-4a0f-90fc-93924bc728aa.png,2024-08-08T13:50:49.558089
9c94a7e7-e4a3-4afa-aa52-b089d3746280,https://live.staticflickr.com/8238/28740161834_9e32abb809_b.jpg,"""Face Off With Cancer #IFACEOFF4 - Fighting Unicorns @ No' Stars"" by mark6mauno is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",/Users/anton/Downloads/Coding/SportMuteDatasets/hockey/9c94a7e7-e4a3-4afa-aa52-b089d3746280.png,2024-08-08T13:50:49.777388
ffa44880-a585-4282-b9ff-430d609b2186,https://live.staticflickr.com/8401/28696808603_3dc60736eb_b.jpg,"""Face Off With Cancer #IFACEOFF4 - Fighting Unicorns @ Pucklers"" by mark6mauno is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",/Users/anton/Downloads/Coding/SportMuteDatasets/hockey/ffa44880-a585-4282-b9ff-430d609b2186.png,2024-08-08T13:50:50.004680
